Date, Odometer, Battery Energy, Motor Energy, Auxiliary Energy, Hours Charging, Hours Running, Hours On
2015-02-16,0,0,0,0,0,0,0                                                                                      
                                                                                                                                                                                                                                           
Time Stamp, Battery Amperage, Battery Voltage, Battery Power In, Battery Power Out, Motor Current, Motor Voltage, Motor Power, Auxiliary Power, Motor Controller Battery Current, Motor Controller Capacitor Voltage, Vehicle Speed, Motor Velocity, SOC, Time Charging, Time Operating, Vehicle Run Hours 
11:35:46,0,0,0,0,0,0,0,0,0,314.9375,0,0,0.0,0.0,0.0,0.0,
11:35:47,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:35:48,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:35:49,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:35:50,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:35:51,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:35:52,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:35:53,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:35:54,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:35:55,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:35:56,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:35:57,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:35:58,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:35:59,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:00,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:01,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:02,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:03,0,0,0,0,0,0,0,0,0,315.8125,0,0,
11:36:04,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:05,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:06,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:07,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:08,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:09,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:10,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:11,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:12,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:13,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:14,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:15,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:16,0,0,0,0,0,0,0,0,0,315.0625,0,0,0.0,0.0,0.0,0.0,
11:36:17,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:18,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:19,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:36:20,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:36:21,0,0,0,0,0,0,0,0,0,315.6875,0,0,
11:36:22,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:23,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:24,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:25,0,0,0,0,0,0,0,0,0,314.5,0,0,
11:36:26,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:27,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:28,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:29,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:30,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:36:31,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:32,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:33,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:34,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:35,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:36,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:37,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:38,0,0,0,0,0,0,0,0,0,315.6875,0,0,
11:36:39,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:40,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:41,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:42,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:43,0,0,0,0,0,0,0,0,0,315.6875,0,0,
11:36:44,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:36:45,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:46,0,0,0,0,0,0,0,0,0,314.9375,0,0,0.0,0.0,0.0,0.0,
11:36:47,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:36:48,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:49,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:36:50,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:51,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:52,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:53,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:36:54,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:36:55,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:36:56,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:57,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:36:58,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:36:59,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:00,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:01,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:37:02,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:37:03,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:04,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:37:05,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:37:06,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:07,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:08,0,0,0,0,0,0,0,0,0,314.5,0,0,
11:37:09,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:37:10,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:11,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:12,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:37:13,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:14,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:15,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:16,0,0,0,0,0,0,0,0,0,314.9375,0,0,0.0,0.0,0.0,0.0,
11:37:17,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:18,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:37:19,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:20,0,0,0,0,0,0,0,0,0,314.125,0,0,
11:37:21,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:22,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:23,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:37:24,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:25,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:26,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:27,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:37:28,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:29,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:30,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:37:31,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:32,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:33,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:34,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:35,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:36,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:37:37,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:38,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:39,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:40,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:41,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:42,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:43,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:44,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:45,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:46,0,0,0,0,0,0,0,0,0,314.5625,0,0,0.0,0.0,0.0,0.0,
11:37:47,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:48,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:37:49,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:37:50,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:51,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:37:52,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:37:53,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:37:54,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:55,0,0,0,0,0,0,0,0,0,315.8125,0,0,
11:37:56,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:37:57,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:37:58,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:37:59,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:38:00,0,0,0,0,0,0,0,0,0,314.5,0,0,
11:38:01,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:38:02,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:38:03,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:38:04,0,0,0,0,0,0,0,0,0,315.8125,0,0,
11:38:05,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:06,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:38:07,0,0,0,0,0,0,0,0,0,314.8125,0,0,
11:38:08,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:09,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:10,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:38:11,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:12,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:13,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:14,0,0,0,0,0,0,0,0,0,314.5625,0,0,
11:38:15,0,0,0,0,0,0,0,0,0,315.1875,0,0,
11:38:16,0,0,0,0,0,0,0,0,0,314.8125,0,0,0.0,0.0,0.0,0.0,
11:38:17,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:18,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:19,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:20,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:21,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:38:22,0,0,0,0,0,0,0,0,0,314.375,0,0,
11:38:23,0,0,0,0,0,0,0,0,0,315.0625,0,0,
11:38:24,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:25,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:26,0,0,0,0,0,0,0,0,0,315.6875,0,0,
11:38:27,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:28,0,0,0,0,0,0,0,0,0,315.6875,0,0,
11:38:29,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:38:30,0,0,0,0,0,0,0,0,0,315.4375,0,0,
11:38:31,0,0,0,0,0,0,0,0,0,315.3125,0,0,
11:38:32,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:33,0,0,0,0,0,0,0,0,0,314.6875,0,0,
11:38:34,0,0,0,0,0,0,0,0,0,314.9375,0,0,
11:38:35,0,0,0,0,0,0,0,0,0,315.5625,0,0,
11:38:36,0,0,0,0,0,0,0,0,0,314.8125,0,0,
